generation(kWh),power(W)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.011,68.6629
0.093,479.0473
0.429,1791.9879
0.416,1568.6195
0.912,3994.2344
1.055,5087.0063
0.992,2870.249
0.703,4369.065
2.407,10070.012
2.909,10887.626
3.062,11538.771
3.402,13461.282
3.643,14591.89
4.297,11682.6
4.162,13372.4795
3.222,15148.444
3.009,8913.171
3.463,16002.099
5.389,26414.508
5.516,23586.727
6.244,21553.658
4.45,16092.014
3.093,19419.623
4.406,14942.214
4.347,19557.668
5.912,20069.705
6.215,21265.355
6.088,21496.52
3.104,14325.913
4.503,27205.69
4.809,15907.014
4.64,20823.656
4.213,11965.386
3.724,16142.314
3.097,17278.848
2.216,6645.7407
2.056,4775.8564
1.557,5737.1523
1.655,4548.4453
1.501,4487.4604
2.248,9719.882
2.364,9432.473
2.406,10253.587
2.289,7480.742
1.84,6085.7046
0.992,2813.7336
0.573,2386.7378
0.473,1774.3909
0.453,1787.8568
0.36,1284.3013
0.173,582.5719
0.068,202.16269
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.009,80.67405
0.119,526.06445
0.245,1028.0197
0.418,1753.269
0.766,3165.1035
1.007,4080.616
1.345,5429.4873
1.825,7378.3433
2.132,9014.205
2.625,10112.056
3.102,12734.99
3.307,13397.766
3.43,14106.6045
3.668,14968.078
3.842,16640.5
4.205,18057.104
4.726,15925.879
3.929,16336.544
5.322,22334.762
3.648,12289.442
2.832,10497.308
1.46,6176.5557
4.474,20936.71
5.906,23607.145
5.505,21394.576
4.427,17114.186
4.793,14584.73
5.149,18481.912
2.922,13610.47
5.795,20486.83
4.941,17409.477
4.59,18990.28
5.829,23180.504
4.367,14614.854
2.011,6413.618
1.445,5006.3286
1.799,6684.929
2.594,10372.772
2.338,14667.2295
3.809,15311.886
3.043,13022.534
2.751,13078.864
3.377,13695.038
2.91,10665.115
1.741,6709.81
1.794,7215.0825
1.551,5971.988
1.016,3612.2178
0.749,2792.16
0.549,2007.3097
0.375,1337.7533
0.186,611.33276
0.06,172.95485
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
